Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.013609886169433594
RandomForest,0.7596457938013915,0.7669220945083014,0.7632666031140769,0.7657232704402516,0.7935647964477539
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.014769792556762695
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.0020003318786621094
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.8824865818023682
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.04577970504760742
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.6793932914733887
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.8229854106903076
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,1.4142966270446777
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.23189330101013184
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.44262051582336426
DNN,0.663023679417122,0.929757343550447,0.7740563530037214,0.7327044025157232,2.2814388275146484
RNN,0.6600361663652803,0.9323116219667944,0.7728957120169401,0.730188679245283,5.322047710418701
