Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.012792110443115234
RandomForest,0.7611749680715197,0.7611749680715197,0.7611749680715197,0.7647798742138365,0.697988748550415
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.012530088424682617
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.0035092830657958984
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.6105432510375977
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.027920007705688477
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.46095967292785645
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.6233854293823242
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,1.3154783248901367
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.16324639320373535
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.3562893867492676
DNN,0.6759962049335864,0.9099616858237548,0.7757212847033206,0.740880503144654,1.7667875289916992
RNN,0.6525945470536499,0.9476372924648787,0.7729166666666667,0.7257861635220125,3.94832181930542
