Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.03417015075683594
RandomForest,0.7554278416347382,0.7554278416347382,0.7554278416347381,0.759119496855346,0.6405820846557617
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.06270742416381836
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.003000497817993164
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.3920466899871826
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.10074806213378906
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.4556763172149658
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.5862224102020264
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,1.7119529247283936
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.4965195655822754
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.5830192565917969
DNN,0.6735556599342414,0.9157088122605364,0.7761840324763193,0.739937106918239,2.664689540863037
RNN,0.661524500907441,0.9310344827586207,0.7734748010610079,0.7314465408805031,4.060861825942993
