Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.013601303100585938
RandomForest,0.7569974554707379,0.7598978288633461,0.758444869343531,0.7616352201257862,0.5978517532348633
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.0115203857421875
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.004534482955932617
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.469918966293335
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.037447452545166016
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.5799825191497803
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.8406250476837158
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,1.3448636531829834
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.19458675384521484
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.33979082107543945
DNN,0.661524500907441,0.9310344827586207,0.7734748010610079,0.7314465408805031,1.770556926727295
RNN,0.6613780598368088,0.9316730523627076,0.7735949098621422,0.7314465408805031,4.160007953643799
