Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.040325164794921875
RandomForest,0.7582908163265306,0.7592592592592593,0.7587747287811104,0.7622641509433963,0.8748538494110107
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.03464388847351074
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.008009672164916992
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.688946008682251
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.05731511116027832
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.493668794631958
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.7424023151397705
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,1.3625688552856445
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.06652045249938965
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.3951730728149414
DNN,0.6624261699227624,0.9310344827586207,0.774090788425803,0.7323899371069182,1.991302728652954
RNN,0.6519480519480519,0.9616858237547893,0.7770897832817337,0.7283018867924528,3.9816226959228516
