Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.02556753158569336
RandomForest,0.7582417582417582,0.7490421455938697,0.753613877288789,0.7588050314465409,0.7112257480621338
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.019115209579467773
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.005516529083251953
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.7704298496246338
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.029787302017211914
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.508387565612793
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.5562930107116699
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,1.3325767517089844
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.12911510467529297
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.3541741371154785
DNN,0.6665137614678899,0.9278416347381865,0.7757608115323011,0.7358490566037735,1.950810432434082
RNN,0.6559092891408635,0.9604086845466155,0.7794765483285826,0.7323899371069182,4.151613712310791
