Model,Precision,Recall,F1Score,Accuracy,RunTime
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.018052339553833008
RandomForest,0.7594611930724824,0.756066411238825,0.75776,0.7619496855345912,0.8126010894775391
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.015231609344482422
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.003018617630004883
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.8823156356811523
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.03362321853637695
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.45903539657592773
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.5902795791625977
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,1.364184856414795
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.21364331245422363
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.36622047424316406
DNN,0.6561938958707361,0.933588761174968,0.7706905640484976,0.7264150943396226,1.9747395515441895
RNN,0.6613780598368088,0.9316730523627076,0.7735949098621422,0.7314465408805031,4.361464500427246
