Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.014575481414794922,"{'SHAP': array([[ 0.00521284, -0.00521284]])}"
RandomForest,0.7619655392469687,0.7624521072796935,0.7622087456112353,0.7657232704402516,0.7222294807434082,"{'SHAP': array([[ 0.02434989, -0.02434989]])}"
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.012120246887207031,"{'SHAP': array([[ 0.0151463, -0.0151463]])}"
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.0035054683685302734,"{'SHAP': array([[ 0.01799454, -0.01799454]])}"
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.400322675704956,"{'SHAP': array([[ 0.01526238, -0.01526238]])}"
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.036286354064941406,"{'SHAP': array([[ 0.06622142, -0.06622142]])}"
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.49798583984375,"{'SHAP': array([[ 0.00092579, -0.00092579]])}"
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.7610437870025635,"{'SHAP': array([[ 0.00574079, -0.00574079]])}"
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,0.04909491539001465,"{'SHAP': array([[-0.00484365,  0.00484364]])}"
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.04700326919555664,"{'SHAP': array([[ 0.00608753, -0.00608753]])}"
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.2116560935974121,"{'SHAP': array([[ 0.00567031, -0.00567031]])}"
DNN,0.6777883698760725,0.9080459770114943,0.7762008733624454,0.7421383647798742,1.7807717323303223,{'SHAP': array([0.23075302])}
RNN,0.6577659101023587,0.9438058748403576,0.7752425911355887,0.730503144654088,3.800567865371704,{'SHAP': None}
