Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.012002706527709961,"{'SHAP': array([[ 0.00521284, -0.00521284]])}"
RandomForest,0.7623318385650224,0.7598978288633461,0.7611128877518388,0.7650943396226415,0.8222806453704834,"{'SHAP': array([[ 0.02340263, -0.02340263]])}"
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.010991573333740234,"{'SHAP': array([[ 0.0151463, -0.0151463]])}"
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.0037992000579833984,"{'SHAP': array([[ 0.01799454, -0.01799454]])}"
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.8237617015838623,"{'SHAP': array([[ 0.01526238, -0.01526238]])}"
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.03343677520751953,"{'SHAP': array([[ 0.06622142, -0.06622142]])}"
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.6487913131713867,"{'SHAP': array([[ 0.00092579, -0.00092579]])}"
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.7654931545257568,"{'SHAP': array([[ 0.00574079, -0.00574079]])}"
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,0.057515621185302734,"{'SHAP': array([[-0.00484365,  0.00484364]])}"
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.05910205841064453,"{'SHAP': array([[ 0.00608753, -0.00608753]])}"
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.240936279296875,"{'SHAP': array([[ 0.00567031, -0.00567031]])}"
DNN,0.6784519827998089,0.9067688378033205,0.7761683520087455,0.7424528301886792,1.8039650917053223,{'SHAP': array([0.17723392])}
RNN,0.6613780598368088,0.9316730523627076,0.7735949098621422,0.7314465408805031,4.847175598144531,{'SHAP': None}
