Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.016974210739135742,"{'SHAP': array([[ 0.00521284, -0.00521284]])}"
RandomForest,0.7607440667094291,0.7573435504469987,0.75904,0.7632075471698113,0.710237979888916,"{'SHAP': array([[ 0.03043409, -0.03043409]])}"
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.01144552230834961,"{'SHAP': array([[ 0.0151463, -0.0151463]])}"
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.0045032501220703125,"{'SHAP': array([[ 0.01799454, -0.01799454]])}"
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,5.021264553070068,"{'SHAP': array([[ 0.01526238, -0.01526238]])}"
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.07253575325012207,"{'SHAP': array([[ 0.06622142, -0.06622142]])}"
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,1.6176517009735107,"{'SHAP': array([[ 0.00092579, -0.00092579]])}"
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.5359992980957031,"{'SHAP': array([[ 0.00574079, -0.00574079]])}"
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,0.038759708404541016,"{'SHAP': array([[-0.00484365,  0.00484364]])}"
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.04403519630432129,"{'SHAP': array([[ 0.00608753, -0.00608753]])}"
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.18935537338256836,"{'SHAP': array([[ 0.00567031, -0.00567031]])}"
DNN,0.6751652502360718,0.913154533844189,0.7763300760043431,0.740880503144654,1.3540711402893066,{'SHAP': array([0.17691112])}
RNN,0.6613780598368088,0.9316730523627076,0.7735949098621422,0.7314465408805031,3.1945769786834717,{'SHAP': None}
