Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.013882160186767578,"{'SHAP': array([[ 0.00521284, -0.00521284]])}"
RandomForest,0.7557544757033248,0.7547892720306514,0.7552715654952077,0.759119496855346,0.7764830589294434,"{'SHAP': array([[ 0.02262664, -0.02262664]])}"
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.013537406921386719,"{'SHAP': array([[ 0.0151463, -0.0151463]])}"
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.004508495330810547,"{'SHAP': array([[ 0.01799454, -0.01799454]])}"
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.7773222923278809,"{'SHAP': array([[ 0.01526238, -0.01526238]])}"
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.04079151153564453,"{'SHAP': array([[ 0.06622142, -0.06622142]])}"
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.522402286529541,"{'SHAP': array([[ 0.00092579, -0.00092579]])}"
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.6397724151611328,"{'SHAP': array([[ 0.00574079, -0.00574079]])}"
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,0.05405449867248535,"{'SHAP': array([[-0.00484365,  0.00484364]])}"
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.05594444274902344,"{'SHAP': array([[ 0.00608753, -0.00608753]])}"
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.20676827430725098,"{'SHAP': array([[ 0.00567031, -0.00567031]])}"
DNN,0.6727019498607242,0.9252873563218391,0.7790322580645161,0.7415094339622641,1.7993056774139404,{'SHAP': array([0.25231242])}
RNN,0.6616780045351474,0.9316730523627076,0.7738000530363298,0.7317610062893082,25.279954195022583,{'SHAP': None}
