Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.014651298522949219,"{'SHAP': array([[ 0.00521284, -0.00521284]])}"
RandomForest,0.7584020291693088,0.7637292464878672,0.761056315622017,0.7638364779874214,0.7814478874206543,"{'SHAP': array([[ 0.02232431, -0.02232431]])}"
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.010660409927368164,"{'SHAP': array([[ 0.0151463, -0.0151463]])}"
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.021787643432617188,"{'SHAP': array([[ 0.01799454, -0.01799454]])}"
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,5.438826560974121,"{'SHAP': array([[ 0.01526238, -0.01526238]])}"
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.08563661575317383,"{'SHAP': array([[ 0.06622142, -0.06622142]])}"
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.5770299434661865,"{'SHAP': array([[ 0.00092579, -0.00092579]])}"
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.6063864231109619,"{'SHAP': array([[ 0.00574079, -0.00574079]])}"
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,0.04612588882446289,"{'SHAP': array([[-0.00484365,  0.00484364]])}"
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.04335379600524902,"{'SHAP': array([[ 0.00608753, -0.00608753]])}"
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.19219303131103516,"{'SHAP': array([[ 0.00567031, -0.00567031]])}"
DNN,0.6802492809204218,0.9061302681992337,0.7771084337349398,0.7440251572327043,1.5300624370574951,{'SHAP': array([0.1698802])}
RNN,0.6569183762549106,0.9610472541507025,0.780399274047187,0.7336477987421384,3.599475860595703,{'SHAP': None}
