Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.01989912986755371,"{'SHAP': array([[ 0.00521284, -0.00521284]])}"
RandomForest,0.7582908163265306,0.7592592592592593,0.7587747287811104,0.7622641509433963,0.8473756313323975,"{'SHAP': array([[ 0.02370325, -0.02370325]])}"
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.008917093276977539,"{'SHAP': array([[ 0.0151463, -0.0151463]])}"
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.004000186920166016,"{'SHAP': array([[ 0.01799454, -0.01799454]])}"
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,1.8367631435394287,"{'SHAP': array([[ 0.01526238, -0.01526238]])}"
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.042170047760009766,"{'SHAP': array([[ 0.06622142, -0.06622142]])}"
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,0.5047833919525146,"{'SHAP': array([[ 0.00092579, -0.00092579]])}"
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.8317224979400635,"{'SHAP': array([[ 0.00574079, -0.00574079]])}"
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,0.05944323539733887,"{'SHAP': array([[-0.00484365,  0.00484364]])}"
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.04799699783325195,"{'SHAP': array([[ 0.00608753, -0.00608753]])}"
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.868675947189331,"{'SHAP': array([[ 0.00567031, -0.00567031]])}"
DNN,0.6865021770682148,0.9061302681992337,0.7811725846407926,0.75,7.801407814025879,{'SHAP': array([0.19375628])}
RNN,0.6554878048780488,0.9610472541507025,0.7793889176592439,0.7320754716981132,4.303442478179932,{'SHAP': None}
