Model,Precision,Recall,F1Score,Accuracy,RunTime,XAI
DecisionTree,0.8089887640449438,0.7816091954022989,0.7950633322507308,0.8015723270440251,0.019724130630493164,"{'SHAP': array([[ 0.00521284, -0.00521284]])}"
RandomForest,0.7578879587894398,0.7515964240102171,0.75472907983328,0.7594339622641509,0.7298111915588379,"{'SHAP': array([[ 0.025329, -0.025329]])}"
Logistic Regression,0.580973952434881,0.9827586206896551,0.7302491103202846,0.6424528301886793,0.011531591415405273,"{'SHAP': array([[ 0.0151463, -0.0151463]])}"
Naive Bayes,0.564935064935065,1.0,0.7219917012448133,0.620754716981132,0.004001140594482422,"{'SHAP': array([[ 0.01799454, -0.01799454]])}"
MLP,0.5808767951625095,0.9814814814814815,0.7298195631528965,0.6421383647798742,2.2019572257995605,"{'SHAP': array([[ 0.01526238, -0.01526238]])}"
Stochastic Gradient Descent,0.6897637795275591,0.8390804597701149,0.7571305099394987,0.7349056603773585,0.03857684135437012,"{'SHAP': array([[ 0.06622142, -0.06622142]])}"
ADA Boost,0.7927527018436109,0.7962962962962963,0.7945205479452055,0.7971698113207547,1.3158531188964844,"{'SHAP': array([[ 0.00092579, -0.00092579]])}"
Gradient Boosting,0.8014276443867618,0.7886334610472542,0.7949790794979079,0.799685534591195,0.5470278263092041,"{'SHAP': array([[ 0.00574079, -0.00574079]])}"
XGBoost,0.8,0.7994891443167306,0.7997444905780902,0.8028301886792453,0.041567087173461914,"{'SHAP': array([[-0.00484365,  0.00484364]])}"
LightGBM,0.7988394584139265,0.7911877394636015,0.794995187680462,0.7990566037735849,0.04117989540100098,"{'SHAP': array([[ 0.00608753, -0.00608753]])}"
CatBoost,0.80249343832021,0.780970625798212,0.7915857605177995,0.7974842767295598,0.18930411338806152,"{'SHAP': array([[ 0.00567031, -0.00567031]])}"
DNN,0.6751652502360718,0.913154533844189,0.7763300760043431,0.740880503144654,1.4384174346923828,{'SHAP': array([0.3268446])}
RNN,0.6640803286170698,0.9291187739463601,0.7745541655576257,0.7336477987421384,4.879614591598511,{'SHAP': None}
